username,userid,profile_location,created_at,text,retweet_count,source,coordinates,,
en Taiko,1.57655E+18,"Portland, Oregon",1/22/2023 15:26,Three years since we performed at Richmond New Year's Festival! Many Richmond and alumni families came out to enjoy‚Ä?https://t.co/9RBy8I6zZB,0,Twitter for Android,,,
Frances Lu Pai Ippolito,1.42725E+18,"Portland, Oregon",1/22/2023 15:18,Happy Lunar New Year! #lunarnewyear #yearofrabbit2023 https://t.co/mPwtRKb00z,0,Instagram,,,
ICAN Radio,1.16933E+18,"Portland, OR",1/22/2023 15:13,"Happy Lunar New Year from the ICAN Team!

#LunarNewYear #ICANradio #PDXkids https://t.co/gONvF0mtHw",0,Sprout Social,,,
Andy Nguyen,1439821526,"Vancouver, WA",1/22/2023 15:12,@Irenezhao_ Happy Lunar New Year üßß.  I have all 4 but crypto drain me now I am poor.,0,Twitter for iPhone,,,
KOIN News,18228178,"Portland, Oregon",1/22/2023 15:05,A Portland lion dance group is gearing up for a busy couple weeks as the #LunarNewYear celebration begins today and‚Ä?https://t.co/66LhFkPnQ5,0,SocialFlow,,,
Portland Monthly,33610571,"Portland, OR",1/22/2023 15:00,"Mark the holiday with dumplings, noodles, seafood, and more from Vietnam, China, and beyond.
https://t.co/woe4W12ZxP",0,HubSpot,,,
KBOO üìª,16598767,"Portland, OR USA",1/22/2023 14:55,Thank you to our Donors! Our End-of-Year membership Drive was a runaway success! Please read our bitchen' infograph‚Ä?https://t.co/MUE6nmjt0E,1,Constant Contact - Social Posts,,,
The Oregonian,2992751,"Portland, Oregon",1/22/2023 14:33,10 dead in shooting after Lunar New Year party in Los Angeles area https://t.co/b6IpgXLj8E,3,SocialNewsDesk,,,
The Standard,3273207973,"Portland, OR",1/22/2023 14:19,"Happy Lunar New Year! Whether you celebrate with food, entertainment, family or all of the above, we want to know.‚Ä?https://t.co/R1tyPPk07O",0,Sprout Social,,,
Spirited Justice,26369645,"Portland, OR",1/22/2023 14:18,Happy Lunar New Year üßß Year of the Rabbit - may this year be full of lessons with ease + joyous moments of growth.,0,Twitter for iPhone,,,
Greenbrier Companies,1621096939,"Lake Oswego, Oregon",1/22/2023 14:01,Greenbrier joins the billions around the world in celebrating the Lunar New Year and welcoming the Year of the Rabb‚Ä?https://t.co/QNl27SGyP2,0,Pardot,,,
Westlake Family Dentistry,1.46516E+18,"Lake Oswego, OR",1/22/2023 14:01,"Wishing you peace, prosperity, and longevity as the lunar new year begins. Happy Chinese New Year from Westlake Fam‚Ä?https://t.co/wRkdIwfNZh",0,EkwaSocial,,,
FOX 12 Oregon,15564045,"Beaverton, OR",1/22/2023 13:55,Breaking News Overnight: A gunman killed 10 people and wounded 10 others at a Los Angeles-area ballroom dance club‚Ä?https://t.co/PNkBG6MvwH,14,SocialNewsDesk,,,
Matt Park,3568765836,"Portland, OR",1/22/2023 13:53,I cannot fathom that a deadly mass shooting occurred in my hometown of #MontereyPark on the eve of Lunar New Year.‚Ä?https://t.co/h5T7lcQc2B,2,Twitter for iPhone,,,
Alexis Vandom üè≥Ô∏è‚Äç‚ößÔ∏?1172849521082208256,"Vancouver, WA",1/22/2023 13:15,At least 10 Asian-Americans killed at a Lunar New Year festival in Monterey Park. That's a targeted attack if I've‚Ä?https://t.co/pMMBiZQVXr,1,Twitter for Android,,,,
"R. Bryan Bell, MD, DDS, FACS, FRCS(Ed)",4447438632,"Portland, OR",1/22/2023 12:08,Happy lunar new year! üêá https://t.co/ylDIXMI1E1,0,Twitter for iPhone,,,
The Nature Conservancy in Oregon,216882389,Portland,1/22/2023 12:00,"Happy Lunar New Year to all of our friends near and far! May the Year of the Rabbit usher in a new year of growth,‚Ä?https://t.co/EclhxJm8f3",1,Khoros Publishing App,,,
Tom Brooks,4899420063,"Lake Oswego, OR",1/22/2023 11:02,Happy New Year !!   January 22nd Starts off the Chinese New Year! https://t.co/qZUTsaKTEX,0,ContentStudio.io,,,
Donna M,83717415,PDX,1/22/2023 9:39,@NZXT üßß Happy Lunar New Year!,0,Twitter Web App,,,
The Fuchsietum | A Garden in Portland üá∫üá¶,78624606,Portland OR,1/22/2023 9:00,Happy Lunar New Year! It‚Äôs the Year of the Rabbit. https://t.co/kcpcou1U8S,3,Twitter Web App,,,
El Oh Kay Why Ee Ee,7.12173E+17,portland,1/22/2023 8:38,At a Lunar New Year event. My heart aches. https://t.co/Ls7MsR7UrS,0,Twitter for Android,,,
John Claude Vann Hamm,54021334,"Portland, OR",1/22/2023 8:33,@mangiotto Fuck. I saw the headline and didn‚Äôt put it together with the new year. I‚Äôm sorry. I don‚Äôt know what to s‚Ä?https://t.co/ZW1QBtASrn,0,Twitter for iPhone,,,
SirCumferance,837079338,"Happy Valley, Oregon",1/22/2023 8:32,@Archeia_Nessiah Happy Lunar New Year!,0,Twitter for Android,,,
Frances White,1931722212,"Portland, OR",1/22/2023 8:07,"Someone shot up the Chinese New Year Celebration in Monterey Park, California?!",0,Twitter for Android,,,
David Klein üá∫üá∏,1.10123E+18,"Beaverton, Oregon",1/22/2023 7:48,"Wishing everyone celebrating the Lunar New Year a healthy, safe, and happy Year of the Rabbit! 

#HappyChineseNewYear",0,Twitter Web App,,,
jules,2843399272,"Portland, OR",1/22/2023 7:17,@dianaxsalazar agreed‚Ä¶i‚Äôve felt very off ever since the new year started,0,Twitter for iPhone,,,
Ham 'n green egger (Commissions open! See pinned!),97366481,Portland,1/22/2023 7:16,@WonderWaffle93 See I heard one too a little while ago but I thought it was a firework for the lunar new year. But‚Ä?https://t.co/iY2zWKcd6j,0,Twitter Web App,,,
Paco ‚ò?1517770834345046016,"Portland, OR",1/22/2023 6:57,It‚Äôs a new year for a reason https://t.co/YacJuiXgNw,0,Twitter for iPhone,,,,
KATU News,17994536,"Portland, Oregon",1/22/2023 6:30,"The White House says President Joe Biden ""looks forward"" to sitting down with new House Speaker Kevin McCarthy to d‚Ä?https://t.co/pKA0xsfjrL",0,TweetDeck,,,
Kon Man,1.51906E+18,Portlandia,1/22/2023 6:04,Happy New Year https://t.co/rsK1VwOR80,0,Twitter for Android,,,
Tommo April FITF,1.57603E+18,Portland,1/22/2023 6:00,It‚Äôs 10pm on the west coast. I do believe we survived this day. Sure many of you spent it stressed out over other t‚Ä?https://t.co/kqWcNeBHUJ,0,Twitter for iPhone,,,
KATU News,17994536,"Portland, Oregon",1/22/2023 6:00,"The ""Year of the Rabbit"" starts this coming Sunday, and the Lan Su Chinese Garden in Portland is getting ready for‚Ä?https://t.co/0K6evKyooC",0,TweetDeck,,,
Joanna Newsom neck tattoo,1.56115E+18,"Portland, OR",1/22/2023 5:48,I bought this today from the Chinese Lunar New Year festival https://t.co/0pAZc0Pl9j,0,Twitter for Android,,,
Kokoüíï,326045594,"Portland, OR",1/22/2023 5:36,Happy Birthday @fkschindler wish you a beautiful new year. Enjoy your day,0,Twitter for iPhone,,,
Wilner: Republican fascists love the Big Lie,344247978,"Portland, OR ",1/22/2023 5:16,"HAPPY LUNAR NEW YEAR

China Cautiously Takes to the Road for Lunar New Year

With strict Covid restrictions lifted‚Ä?https://t.co/5SaVT2ZGGj",0,Twitter Web App,,,
ATS_PDX,4286468594,"Portland, OR",1/22/2023 5:09,"Volunteering is a great way to start the new year!!!
-
We are always excited to give back to our neighborhoods and‚Ä?https://t.co/YLJIGhno2s",0,Instagram,,,
Barny Caneti,1.45502E+18,"Vancouver, WA",1/22/2023 4:34,I really want to make a lunar new year feast but i don‚Äôt celebrate it or know nothing of it. I hope next year i kno‚Ä?https://t.co/823pD9iua2,0,Twitter for iPhone,,,
Claire Willett,16187223,"Portland, Oregon",1/22/2023 4:26,"GUESS WHAT IT'S TIME FOR, SPACE BITCHES

i have not had an evening free of hard-deadline writing projects since lik‚Ä?https://t.co/cJTyfGGFqZ",0,Twitter Web App,,,
Lovingkindness,3309936498,"Portland, OR",1/22/2023 4:19,We had a fun Lunar New Year visit to the Song Lo Orphanage! #charity #donations #orphanage #lunarnewyear #food‚Ä?https://t.co/NHJnV5g1tX,0,Twitter for iPhone,,,
Bill Mudron,18518084,"Portland, OR",1/22/2023 3:46,"If Overwatch and Fortnite have taught me anything, it's that I'm a weird sucker for Lunar New Year videogame cosmet‚Ä?https://t.co/nIgqDo9Feb",0,Twitter Web App,,,
Ketchup ‚ñØ‚ô°,181328291,"Portland, OR",1/22/2023 3:05,"Will a new single or album come out this year? 
@ashnikko",0,Twitter for Android,,,
Rose Bak,275740425,"Portland, OR",1/22/2023 3:00,"New! Parties, fireworks, hooking up &amp; hanging out are all the things you expect on New Year's Eve but what do you d‚Ä?https://t.co/LsZny0pIsy",0,Canva,,,
comGateway,990347822,"Portland, Oregon",1/22/2023 3:00,Happy Lunar New Year to everyone! May good fortune happen to all of us this 2023. üôèü•≥üéÜüêá https://t.co/bTfd50Pekb,0,Twitter Web App,,,
Brian Co,7064312,"Camas, WA",1/22/2023 2:55,"Happy Lunar New Year üßßüêá
Apple‚Äôs short film shot on the iPhone 14 is beautiful.
https://t.co/qkrapxXGTl",0,Twitter for iPhone,,,
"Sarah Desoky, MD",1.11609E+18,"Portland, OR",1/22/2023 2:40,@JasonLeeRadMD @drsherrywang She is so cute Jason! Happy new year üéâ,0,Twitter Web App,,,
‚Äén∆∞·ªõc m·∫Ømi,278327154,"Portland, OR",1/22/2023 2:14,lol go birds happy lunar new year bitches,2,Twitter for iPhone,,,
Tim,4133338392,"Portland, OR",1/22/2023 1:48,Happy Chinese New Year ! https://t.co/uTetJw0ede,0,Twitter for iPhone,,,
‚Ä?rae Á±?ü™∑,1.07076E+18,East Vancouver ,1/22/2023 1:40,happy Lunar new year üå∫üå∫üßßüßß‚ù§Ô∏è,0,Twitter for iPhone,,,
Margaret Yovan,2832039133,"Portland, OR",1/22/2023 1:38,"this isn't fashionable, but it is sensible.  we don't NEED new clothes every year once we reach adulthood.

(I didn‚Ä?https://t.co/JqKruSaWkD",0,Twitter Web App,,,
Rep. Lori Chavez-DeRemer,1.58353E+18,"Happy Valley, OR",1/22/2023 1:33,Today I had the pleasure of attending the Emmert Cali Saigon Lunar New Year celebration. Wishing a happy and health‚Ä?https://t.co/wLiqOTLnrw,3,Twitter for iPhone,,,
Sly A. Demure,8.29933E+17,"Portland, OR",1/22/2023 0:32,"@THEJamesWhale sincerely sorry to hear you are suffering from blood clots. You are in my thought and prayers.

Wond‚Ä?https://t.co/4nrbuelByL",0,Twitter for iPhone,,,
Julia Brim-Edwards,7.74444E+17,"Portland, OR",1/22/2023 0:29,"@ Chinese New Year &amp; Cultural Fair to Celebrate the Year of the Rabbit. 
Happy Lunar New Year to all!! üëèüëèüëè‚Ä?https://t.co/c4MNjJqxFB",0,Twitter for iPhone,,,
Reclaim. Reduce. Reuse.,8.18647E+17,"Portland, OR",1/22/2023 0:25,Happy Lunar New Year! https://t.co/bxYpju5RaF,0,Twitter Web App,,,
Tigard City Council President Yi-Kang Hu,1.60207E+18,"Tigard, Oregon",1/22/2023 0:04,"Thank you Vietnamese Community of Oregon for inviting us to your Lunar ""Tet"" Festival.  Happy new year! https://t.co/ypUBkDkLfn",2,Twitter for iPhone,,,
The Columbian Life,29227806,"Vancouver, WA",1/21/2023 23:32,Moving for many is a stressful life experience. The new year is a popular time for those looking to make a life tra‚Ä?https://t.co/dsNWwo9IE8,0,SocialNewsDesk,,,
Anna Daviscourt (she/her),2547438102,"Portland, OR",1/21/2023 23:11,‚ú®Happy Lunar New Year!‚ú?https://t.co/uZnbPMsUWz,0,Twitter Web App,,,
HEYYEYAA,1.22814E+18,"Portland, OR",1/21/2023 23:10,"@slvppy Ive gone, iphone 4-&gt;5-&gt;6-&gt;8-&gt;11 all bought used and 2-3 years behind the newest. If you buy the new iPhone every year you‚Äôre silly",0,Twitter for iPhone,,,
sol,1.06866E+18,"Portland, OR",1/21/2023 22:52,Invited to celebrate Chinese new year at the casino but I have $50 to my name,0,Twitter for Android,,,
Alexandra Productions |AP| DOMESTIC COMPANY,1.55288E+18,"Vancouver, Washington, USA",1/21/2023 22:46,WHEN THE NEW STATE OF WORTHSMANSHIP BEGAN ON EARTH YEAR 2001,0,Twitter Web App,,,
Saul (mean and nasty) üòà,629717149,Portland,1/21/2023 22:41,"New Skyzoo is great, new Brokedowns is great, gonna check out the new Oddisee this weekend. Good start to the year music-wise!",0,Twitter for Android,,,
Washington County,1377577430,"Hillsboro, OR",1/21/2023 22:18,Come visit our Washington County booth at the Oregon Convention Center today until 5 p.m. as we celebrate the Lunar‚Ä?https://t.co/E9HUZOr7X7,2,Twitter Web App,,,
Minerva Owner,480977868,PDX,1/21/2023 22:17,I‚Äôm Lowkey kinda pissed I came back here on New Year‚Äôs Eve cos now everything is closed for the next 5 days and I‚Äôm tryna eat,0,Twitter for iPhone,,,
lynn,154687936,pdx,1/21/2023 21:42,every year i always tell myself that i‚Äôll buy some nice red shirts so i can wear it for lunar new year but alas‚Ä?i did not do it this year,0,Twitter for iPhone,,,
Robert Thach,31695072,Washington State,1/21/2023 21:19,"Lunar New Year! (@ SF Supermarket - @shunfatofficial in Portland, OR) https://t.co/zXpjgY80Xd https://t.co/94VBkbWcBF",0,Foursquare,"{'type': 'Point', 'coordinates': [-122.580007, 45.484287]}",,
Summer(she/they) üêÄ,1.06976E+18,"Portland, OR",1/21/2023 20:55,happy lunar new year!! I want a moon cake so bad üò≠ü•Æ,0,Twitter for Android,,,
The Columbian,15079397,"Vancouver, Washington",1/21/2023 20:27,"It is only Jan. 21, but already we have welcomed two new reporters to the metro news team this year, allowing us to‚Ä?https://t.co/rMUA2azAy0",0,SocialNewsDesk,,,
Gluten Free Lap Dance üêá,93533858,"Portland, OR",1/21/2023 20:20,"I love how the NieR anime gives new context to scenes I‚Äôve played countless times now. 

Combined with the new mang‚Ä?https://t.co/66Rkb72yrz",0,Twitter for iPhone,,,
Portland Art Museum,17298438,"Portland, OR",1/21/2023 20:18,"üåô Yashima Gakutei (Japanese, ca. 1786‚Ä?855), ‚ÄúNew Year's garland and crescent moon,‚Ä?late 1820s. Color woodblock pr‚Ä?https://t.co/ofi9VlZHGb",0,Twitter Web App,,,
Portland Art Museum,17298438,"Portland, OR",1/21/2023 20:18,"Happy Lunar New Year! We are marking the occasion with this deluxe print from the 1820s. 

#DidYouKnow? Before swit‚Ä?https://t.co/quUzYoq7gs",8,Twitter Web App,,,
Oregon Nurses Association,3194776550,"Tualatin, OR",1/21/2023 20:00,"Catch up on the progress, wins and new laws Oregon's labor movement won last year that will improve lives for Orego‚Ä?https://t.co/m4Lu3SsDHR",0,Hootsuite Inc.,,,
Portland Business Journal,17135038,"Portland, OR",1/21/2023 20:00,New EV sales accelerated again last year as more charging stations came online and Oregon remained one of the top s‚Ä?https://t.co/QaD3MTHuWB,0,True Anthem,,,
KatePhyre,1.4102E+18,"Portland, OR",1/21/2023 19:10,"Just in time for the New Year a fun new #book on #tarot 
Want to harness fate, discover your destiny, find new love‚Ä?https://t.co/4EiKRbbmwB",0,Twitter for iPhone,,,
KatePhyre,1.4102E+18,"Portland, OR",1/21/2023 19:07,"#tarot card of the day, new beginnings for the lunar new year üåí https://t.co/gERtJx5EnM",0,Twitter for iPhone,,,
The Columbian,15079397,"Vancouver, Washington",1/21/2023 18:32,"Every Lunar New Year without fail, Kat Lieu‚Äôs mother would make her steamed nian gao, which is a sweet rice ‚Ä?or mo‚Ä?https://t.co/FRySKCTfR2",0,SocialNewsDesk,,,
Travis Q Goodwin,613140257,"Portland, OR",1/21/2023 18:15,@yi_ya_yi_ya_yo Happy new year! üê∞üßßüéä,0,Twitter Web App,,,
Nils Codes (HAZEL) üò∫üî•‚ú?1256468171122282497,"Portland, Oregon, US",1/21/2023 18:01,"@BullishDumpling Yeah, happy new year of the rabbit‚Ä?I think? üêá üò¨ https://t.co/TVWZJ3QSEx",0,Twitter for iPhone,,,,
A. Salt,17561838,"Portland, Oregon, USA",1/21/2023 17:43,"ÏÉàÌï¥ Î≥?ÎßéÏù¥ Î∞õÏúºÏÑ∏Ïöî! 
Saehae bok mani badeuseyo!

Happy Lunar New Year! 
eat rice cakes :D

Year of the Water Rabbit 
san‚Ä?https://t.co/V3f0EOhRjH",0,Twitter Web App,,,
Catherine McMullen,1.52808E+18,"Clackamas County, Oregon",1/21/2023 17:34,Heading out right now to celebrate the Lunar New Year with the Vietnamese Community of Oregon as they welcome the y‚Ä?https://t.co/ttDPCWxyRc,0,Twitter Web App,,,
tc,1.22673E+18,"Vancouver, WA",1/21/2023 17:33,"may the new year bless you with health and happiness, let your spirit soar and have a joy-filled year.
hope all the‚Ä?https://t.co/6fh7tI0apQ",0,Twitter for iPhone,,,
Palacio,1.61518E+18,"Portland, OR",1/21/2023 17:27,@brant_brian1 @HarliCindy Happy new year,0,Twitter for iPhone,,,
Palacio,1.61518E+18,"Portland, OR",1/21/2023 17:27,@HarliCindy Happy new year üéÜüéàüéä,0,Twitter for iPhone,,,
Palacio,1.61518E+18,"Portland, OR",1/21/2023 17:24,@CliffBurnhame Happy new year üéä,0,Twitter for iPhone,,,
Quinn de la Cr√®me,49896587,"Portland, OR",1/21/2023 17:06,I swear every year I do my taxes there is some new thing they ask me that I have no idea about and spend 30 minutes‚Ä?https://t.co/XafeqSKrns,0,Twitter Web App,,,
The Columbian Life,29227806,"Vancouver, WA",1/21/2023 17:00,"If drink more tea is among your New Year's resolutions, Monika Spykerman has something very old for you to try. Mil‚Ä?https://t.co/7RMPSLammZ",0,SocialNewsDesk,,,
The Columbian,15079397,"Vancouver, Washington",1/21/2023 17:00,"If drink more tea is among your New Year's resolutions, Monika Spykerman has something very old for you to try. Mil‚Ä?https://t.co/yaxmaP3N9z",0,SocialNewsDesk,,,
Andy Nguyen,1439821526,"Vancouver, WA",1/21/2023 16:56,Happy Lunar New Year to all. https://t.co/6PUQAG8YTQ‚Ä?https://t.co/mOq7ymV28i,0,Twitter for iPhone,,,
VVVE…ÖRY | MetaArchitects HUB,407125765,"Portland, OR",1/21/2023 16:53,"@bbaker426 @oncyber thank you for the signal booost, ser!

such an incredible well of creativity to be found at the‚Ä?https://t.co/T4u82u5W61",0,Twitter Web App,,,
ShortDestroyers.eth üíôüè¥‚Äç‚ò†Ô∏èü¶çüê∫ü¶?1514827974490484744,"Portland, OR",1/21/2023 16:35,@daniel_taikoxyz Happy New Year Daniel!,0,Twitter for iPhone,,,,
#HumanityFirst,4834199967,"Portland, OR",1/21/2023 16:34,@ichigowarano Happy Chinese New Year,0,Twitter for iPhone,,,
The Oregonian,2992751,"Portland, Oregon",1/21/2023 16:31,"For Lunar New Year, White Lotus Lion Dance Team is ready to bring you good luck https://t.co/uFmXlHFoS5",0,SocialNewsDesk,,,
Darianaüñ§,190095133,"Portland, OR",1/21/2023 16:30,@GenoTooTurnt These new age girls something else. No way she just called herself an underage 21 year old lmfaoooo women are sick,0,Twitter for iPhone,,,
Derek,552868366,"Portland,OR",1/21/2023 16:09,Happy Lunar New Year everyone! https://t.co/igtw9aslbV,0,Twitter Web App,,,
Hagen Kennecke,2378288102,"Portland, OR",1/21/2023 16:08,#GI23 Happy Chinese New Year! ‚Å¶@ASCO‚Å?https://t.co/d35esXMiPr,3,Twitter for iPhone,,,
The New Stack,2327560616,"Portland, Oregon",1/21/2023 15:16,"In CircleCI‚Äôs 2022 State of Software Delivery report, it was found that the impacts many engineering teams experien‚Ä?https://t.co/R5slmSerei",2,Buffer,,,
David Peters,2549119543,"Portland, OR",1/21/2023 14:35,"USArmy: For the second year in a row, two medics from New York‚Äôs Utica-based, 2nd Battalion, 108th Infantry Regimen‚Ä?https://t.co/Z5XWiNbMtw",0,IFTTT,,,
The Columbian,15079397,"Vancouver, Washington",1/21/2023 14:02,"At Lunar New Year, desserts can be customary or 'cute-ified' - https://t.co/UaBEddgI4W",0,Automate Posts from Columbian,,,
vervex,1.09789E+18,the skate park,1/21/2023 13:37,@YoursTrulyMiko @Eivorerin New year new me.,0,Twitter for Android,,,
Tyler Tinsley,34077043,Portland OR,1/21/2023 13:11,I enjoy the concept of lunar new year more than the Gregorian ‚Äúbecause Cesar said Jan 1st‚Ä?reason.,0,Twitter Web App,,,
Rene Huurman,465193270,"Portland, OR",1/21/2023 12:53,"With each new year, we naturally start adding new goals to a growing list. But as that list grows, how will you pri‚Ä?https://t.co/CujyKR8hSY",0,Hearsay Social,,,
michael locke,1.10873E+18,"Portland, OR",1/21/2023 12:25,@DailyCaller @TuckerCarlson Defects and recalls? It done already. Stoves was a safety warning. with a rebate from c‚Ä?https://t.co/B1Bgf5YB2Y,0,Twitter Web App,,,
Uncle Princeüëëüëë of Lagos,368012967,"Oregon City, OR",1/21/2023 10:44,"@palmpay_ng
My 2023 resolution: made me discovered a new source of income and gave me 100% assurance of a successfu‚Ä?https://t.co/MiiOlOLlPh",0,Twitter for Android,,,
BEAUTIEJUNKIE - Lisa üíã,360100411,"PORTLAND, OR.",1/21/2023 9:55,üßßHappy Lunar New Yearüßß Brillare Beauty is having their  New Year Sale. Use my Code: üëâüèºLISAPNGUYENüëàüèºto save 22% OFF‚Ä?https://t.co/suElORhXrs,0,Twitter Web App,,,
the moondust collective,1.41036E+18,"Portland, OR",1/21/2023 7:56,"lots of covers! got a couple new order ones almost wrapped up that we're going to be dropping together soon, plus a‚Ä?https://t.co/85NwFbHhuP",0,Twitter Web App,,,
Red Zone Rogue üëπ,1316540935,"Portland, OR",1/21/2023 7:28,@jyq89 Happy Chinese New Year!,0,Twitter Web App,,,
Julia Brim-Edwards,7.74444E+17,"Portland, OR",1/21/2023 6:59,"This is what community looks like!
Celebrating the Lunar New Year with H·ªôi Ph·ª?Huynh and the students and families‚Ä?https://t.co/7aobad3CHv",0,Twitter for iPhone,,,
Tigard City Council President Yi-Kang Hu,1.60207E+18,"Tigard, Oregon",1/21/2023 6:05,Wishing all of our community members who celebrate lunar new year a happy and healthy new year! Êñ∞Âπ¥Âø´Ê®Ç! üêáüêàüèÆüßß https://t.co/Zs6zrWUbCH,0,Twitter for iPhone,,,
Yi-Kang Hu,1.52733E+18,Tigard OR,1/21/2023 6:02,Wishing all of our community members who celebrate lunar new year a happy and healthy new year!  Êñ∞Âπ¥Âø´Ê®Ç!  üêáüêàüèÆüßß https://t.co/LWpowkHvs8,1,Twitter for iPhone,,,
Liz KGo,26424391,"Portland, OR",1/21/2023 5:29,@clhubes My three year old has Jurrasic Park Hotwheels including the orb-like vehicle from one of the new movies. T‚Ä?https://t.co/UE9QTWPeZM,0,Twitter for Android,,,
Claire Willett,16187223,"Portland, Oregon",1/21/2023 5:21,"@_gunstreet I had never seen TOS until this year except like, random bits absorbed through pop culture osmosis, so‚Ä?https://t.co/AhVJaiNuvJ",0,Twitter Web App,,,
svenyung,1.20292E+18,"Happy Valley, OR",1/21/2023 5:20,happy Chinese new year‚ÇçÀÑ¬∑Õà‡ºù¬∑ÕàÀÑ*‚Çé‚óû ÃëÃë,0,Twitter for iPhone,,,
Julia Brim-Edwards,7.74444E+17,"Portland, OR",1/21/2023 5:11,"HAPPY NEW YEAR!!  Watch this! 
4/5th grade Rose City Park Vietnamese Dual Immersion students‚Ä¶Stick Dance‚Ä?https://t.co/Aza9t6EQUw",0,Twitter for iPhone,,,
Garloop,22036359,"Portland, OR",1/21/2023 4:45,@ScottGustin @ocregister The food options for the Chinese new year look good at DCA,0,Twitter for iPhone,,,
Paul Lackey,247369899,"Portland, OR",1/21/2023 4:41,My best friend from Papua New Guinea is now on Facebook. Facebook tells me today is his birthday. It isn‚Äôt. I don‚Äôt‚Ä?https://t.co/TIS42XDnfg,0,Twitter for iPad,,,
Vendi5,1.61427E+18,,1/21/2023 4:05,"Happy New Year to everyone
#Âë™Ë°ìÂªªÊà¶ https://t.co/iXtgqJHCEh",0,Twitter for Android,,,
Julia Brim-Edwards,7.74444E+17,"Portland, OR",1/21/2023 4:02,Kicking off the Lunar New Year celebration at McDaniel with the kindergarteners @vanhtruong12 @OVEECA https://t.co/y8VQVVFhe5,0,Twitter for iPhone,,,
Phi,120675019,"Gresham, OR",1/21/2023 3:58,@DjHanzel and @Skrillex dropping new music to start 2023 was the start to the year I didn‚Äôt know I needed üò≠,0,Twitter for iPhone,,,
Par 5,314412377,"Portland, OR",1/21/2023 3:58,@CGMeifangZhang 1935ÔºåChina. Land owners bow to peasants with sincere new year wishes. It used to be sincere.... https://t.co/zioKpdh61s,0,Twitter Web App,,,
Breaking PDX News,63202181,"Portland, Oregon",1/21/2023 2:28,Portland construction company gets a new name in the new year: An outside branding firm helped devise the new monik‚Ä?https://t.co/xsDrpQ2hFx,0,dlvr.it,,,
lil üåä,1381067780,"Portland, OR",1/21/2023 2:23,@aloha_jhad This fifth year of Bass gonna be so fucking good!! Try something new!! üòå,0,Twitter for iPhone,,,
Cheryle Clunes,954141000,"Oregon City, OR",1/21/2023 2:15,"Today, we're looking at the Median New Listing Price for Oregon City. What do you think this number will be in a ye‚Ä?https://t.co/A2Dz0ETwGO",0,Back At You,,,
Reynolds School District #7,48105337,"Fairview, OR",1/21/2023 2:00,Lunar New Year is the most celebrated and longest of all Asian festivals and is observed by millions of people arou‚Ä?https://t.co/yGu19cOSIj,2,Hootsuite Inc.,,,
Portland Business Journal,17135038,"Portland, OR",1/21/2023 2:00,New EV sales accelerated again last year as more charging stations came online and Oregon remained one of the top s‚Ä?https://t.co/MutFSVQwlJ,0,True Anthem,,,
Pat Cheung,14884674,"Portland, OR",1/21/2023 2:00,Getting my stomach ready for the weekend onslaught. Happy Chinese New Year!  üéäüßß,0,Twitter for Android,,,
KOIN News,18228178,"Portland, Oregon",1/21/2023 1:57,"Just three weeks into the new year, Portland police say the city‚Äôs homicide rate isn‚Äôt slowing down. https://t.co/ZcHWrBrabG",1,SocialFlow,,,
PSU CEPE,165810004,"Portland, OR",1/21/2023 1:05,Level up your HR career this new year by enrolling in CEPE's online #HumanResource Management program! ‚û°Ô∏è‚Ä?https://t.co/BRaRALZN0x,0,HubSpot,,,
Aiden Thomas,1.00046E+18,"Portland, OR",1/21/2023 0:55,"Y‚ÄôALL DISNEYLAND‚ÄôS GOT OSWALD AND ORTENSIA OUT CELEBRATING THE LUNAR NEW YEAR!

Oswald is repping the chinese and k‚Ä?https://t.co/Yn1h9L6wwW",35,Twitter for iPhone,,,
Robin Lopez,8.45692E+17,"Portland, Oregon, USA",1/21/2023 0:39,"@sprinkles I plan to spend it with my neighbors, they show me all their culture celebrations for their New Year ‚ô•Ô∏è",0,Twitter Web App,,,
üñ§,1.50564E+18,"Portland, OR",1/21/2023 0:33,Yasss babyyy just trynaaaa hit new goals and walking differently this year! I‚Äôm trying to host events! You need to‚Ä?https://t.co/1jtrAJSiB7,0,Twitter for iPhone,,,
Oregon Choice Group,8.9113E+17,"Portland, OR",1/21/2023 0:32,"Whether you are thinking about buying a new home in 3 months or a year from now, there are steps you can take now t‚Ä?https://t.co/V0kfO2PrLU",0,Twitter Web App,,,
Jason Vondersmith,9.39275E+17,"Portland, OR",1/21/2023 0:30,"What to do in Portland this weekend? Check out Portland Tribune's Short List picks, and don't forget about ""America‚Ä?https://t.co/m5p67BPHF9",1,TweetDeck Web App,,,
Candace Moore Hill,263661447,"Portland, Oregon",1/21/2023 0:16,@LakotaMan1 Absolutely yes. Went to the Portland New Years Eve Sobriety PowPow this year and really enjoyed it.,0,Twitter for Android,,,
Sarah Madsen,2905633309,"Portland, OR",1/21/2023 0:07,Where to Celebrate Lunar New Year 2023 in Portland https://t.co/7IffWkVKiZ,0,IFTTT,,,
Ashley Koch,1.36445E+18,"Portland, Oregon",1/21/2023 0:04,"‚ÄúI‚Äôll just put that off until the new year,‚Ä?she says, on January 20th",0,Twitter Web App,,,
